Region;Contagiados con Atraso;Contagiados;Muertes;Muertes_DEIS;Recuperados;Infectados_Actuales;UCI;Fecha;Total_Contagiados
Prov_Concepción;6159;6159;;139;;;;7/19/2020;
Prov_Biobío;2422;2422;;35;;;;7/19/2020;
Prov_Arauco;607;607;;20;;;;7/19/2020;
Prov_Concepción;6251;6251;;139;;;;7/20/2020;
Prov_Biobío;2437;2437;;35;;;;7/20/2020;
Prov_Arauco;621;621;;21;;;;7/20/2020;
Prov_Concepción;6338;6338;;140;;;;7/21/2020;
Prov_Biobío;2447;2447;;35;;;;7/21/2020;
Prov_Arauco;633;633;;22;;;;7/21/2020;
Prov_Concepción;6480;6480;;141;;;;7/22/2020;
Prov_Biobío;2462;2462;;39;;;;7/22/2020;
Prov_Arauco;642;642;;22;;;;7/22/2020;
Prov_Concepción;6609;6609;;143;;;;7/23/2020;
Prov_Biobío;2487;2487;;39;;;;7/23/2020;
Prov_Arauco;664;664;;22;;;;7/23/2020;
Prov_Concepción;6733;6733;;147;;;;7/24/2020;
Prov_Biobío;2510;2510;;40;;;;7/24/2020;
Prov_Arauco;706;706;;23;;;;7/24/2020;
Prov_Concepción;6870;6870;;153;;;;7/25/2020;
Prov_Biobío;2538;2538;;40;;;;7/25/2020;
Prov_Arauco;735;735;;24;;;;7/25/2020;
Prov_Concepción;6973;6973;;153;;;;7/26/2020;
Prov_Biobío;2557;2557;;40;;;;7/26/2020;
Prov_Arauco;747;747;;24;;;;7/26/2020;
Prov_Concepción;7078;7078;;156;;;;7/27/2020;
Prov_Biobío;2583;2583;;41;;;;7/27/2020;
Prov_Arauco;760;760;;25;;;;7/27/2020;
Prov_Concepción;7188;7188;;158;;;;7/28/2020;
Prov_Biobío;2610;2610;;42;;;;7/28/2020;
Prov_Arauco;767;767;;25;;;;7/28/2020;
Prov_Concepción;7291;7291;;158;;;;7/29/2020;
Prov_Biobío;2636;2636;;44;;;;7/29/2020;
Prov_Arauco;785;785;;25;;;;7/29/2020;
Prov_Concepción;7433;7433;;159;;;;7/30/2020;
Prov_Biobío;2658;2658;;45;;;;7/30/2020;
Prov_Arauco;798;798;;25;;;;7/30/2020;
Prov_Concepción;7575;7575;;160;;;;7/31/2020;
Prov_Biobío;2680;2680;;48;;;;7/31/2020;
Prov_Arauco;805;805;;25;;;;7/31/2020;
Prov_Concepción;7702;7702;;164;;;;8/1/2020;
